"Time (sec), t","Pwr Demand (kW), P_dem","Velocity (m/s), v_dc",
739,9.081807455,10.95248,
740,9.492119343,11.39952,
741,6.791086905,11.84656,
742,6.175270773,12.114784,
743,4.68994256,12.338304,
744,5.57553842,12.472416,
745,4.843306736,12.651232,
746,2.387545387,12.785344,
747,-0.134731321,12.785344,
748,1.515547722,12.651232,
749,0.676240558,12.606528,
750,-1.807698505,12.51712,
751,-3.415979466,12.2936,
752,-8.0877506,11.980672,
753,-12.99671145,11.39952,
754,-12.04893673,10.50544,
755,-14.24382856,9.61136,
756,-12.64735787,8.49376,
757,-6.663264394,7.37616,
758,-9.544536743,6.660896,
759,-10.60496062,5.588,
760,-8.271097362,4.202176,
761,-5.465023753,2.771648,
762,-1.147855853,1.34112,
763,0.087193597,0.67056,
764,-0.353763869,0.67056,
765,-0.044459458,0.22352,
766,0,0,
767,3.085335825,1.34112,
768,6.485214286,2.816352,
769,9.897886214,4.291584,
770,11.81315927,5.766816,
771,8.935998444,7.063232,
772,5.812652911,7.8232,
773,7.211881655,8.225536,
774,8.24153738,8.71728,
775,9.388264823,9.253728,
776,9.369082812,9.83488,
777,14.01131794,10.371328,
778,12.96102622,11.176,
779,9.907186334,11.84656,
780,6.285084796,12.2936,
781,4.777266328,12.51712,
782,7.339125996,12.651232,
783,2.428083284,12.919456,
784,2.428083284,12.919456,
785,1.578505232,12.919456,
786,-0.125397998,12.874752,
787,0.698501294,12.74064,
788,2.347487476,12.651232,
789,2.347487476,12.651232,
790,1.515547722,12.651232,
791,-2.63975959,12.606528,
792,1.444495607,12.338304,
793,2.242974687,12.2936,
794,2.242974687,12.2936,
795,2.242974687,12.2936,
796,2.242974687,12.2936,
797,2.242974687,12.2936,
798,3.051396708,12.2936,
799,5.501304299,12.338304,
800,6.423507536,12.51712,
801,14.94142746,12.74064,
802,11.40005948,13.4112,
803,11.83883207,13.85824,
804,12.28338537,14.30528,
805,3.032841593,14.75232,
806,8.853480151,14.75232,
807,7.080691625,15.020544,
808,6.194054875,15.19936,
809,2.237259959,15.333472,
810,1.218073408,15.288768,
811,3.195544103,15.19936,
812,2.196040513,15.19936,
813,0.1893,15.154656,
814,-1.809010899,15.020544,
815,2.07578571,14.797024,
816,-1.817690538,14.75232,
817,-1.823229603,14.5288,
818,1.935583486,14.30528,
